dataset,source_geo_id,source_geo_name,source_geo_type,state_code,row_count,normalized_source_name
zhvi,394456,"Charleston, IL",msa,IL,315,charleston il
zhvi,394807,"Louisville, KY",msa,KY,315,louisville ky
zhvi,394427,"Burlington, IA",msa,IA,315,burlington ia
zhvi,395098,"Sierra Vista, AZ",msa,AZ,315,sierra vista az
zhvi,394953,"Paducah, KY",msa,KY,315,paducah ky
zhvi,395053,"Salt Lake City, UT",msa,UT,315,salt lake ut
zhvi,395068,"Santa Rosa, CA",msa,CA,315,santa rosa ca
zhvi,394849,"Memphis, TN",msa,TN,315,memphis tn
zhvi,394628,"Gardnerville Ranchos, NV",msa,NV,315,gardnerville ranchos nv
zhvi,394471,"Clarksville, TN",msa,TN,315,clarksville tn
zhvi,395168,"Tullahoma, TN",msa,TN,315,tullahoma tn
zhvi,395113,"Spokane, WA",msa,WA,315,spokane wa
zhvi,394481,"Coffeyville, KS",msa,KS,315,coffeyville ks
zhvi,394352,"Augusta, GA",msa,GA,315,augusta ga
zhvi,394653,"Greenville, SC",msa,SC,315,greenville sc
zhvi,395153,"The Villages, FL",msa,FL,315,the villages fl
zhvi,394766,"Lakeland, FL",msa,FL,315,lakeland fl
zhvi,395096,"Shreveport, LA",msa,LA,315,shreveport la
zhvi,394756,"La Crosse, WI",msa,WI,315,la crosse wi
zhvi,394732,"Kalamazoo, MI",msa,MI,315,kalamazoo mi
zhvi,394762,"LaGrange, GA",msa,GA,315,lagrange ga
zhvi,394642,"Grants, NM",msa,NM,315,grants nm
zhvi,394577,"Eureka, CA",msa,CA,315,eureka ca
zhvi,394989,"Point Pleasant, WV",msa,OH,315,point pleasant wv
zhvi,395090,"Shelby, NC",msa,NC,315,shelby nc
zhvi,394351,"Auburn, AL",msa,AL,315,auburn al
zhvi,394747,"Kingsport, TN",msa,TN,315,kingsport tn
zhvi,394957,"Palm Bay, FL",msa,FL,315,palm bay fl
zhvi,394943,"Orlando, FL",msa,FL,315,orlando fl
zhvi,394735,"Kansas City, MO",msa,MO,315,kansas mo
zhvi,394648,"Greensboro, NC",msa,NC,315,greensboro nc
zhvi,394862,"Milwaukee, WI",msa,WI,315,milwaukee wi
zhvi,394578,"Evanston, WY",msa,WY,315,evanston wy
zhvi,394666,"Harrisburg, PA",msa,PA,315,harrisburg pa
zhvi,394660,"Hagerstown, MD",msa,MD,315,hagerstown md
zhvi,394903,"Natchez, MS",msa,LA,315,natchez ms
zhvi,394705,"Indianapolis, IN",msa,IN,315,indianapolis in
zhvi,394932,"Ogdensburg, NY",msa,NY,315,ogdensburg ny
zhvi,394770,"Lansing, MI",msa,MI,315,lansing mi
zhvi,395107,"South Bend, IN",msa,IN,315,south bend in
zhvi,394576,"Eugene, OR",msa,OR,315,eugene or
zhvi,753899,"Los Angeles, CA",msa,CA,315,los angeles ca
zhvi,394800,"Logan, UT",msa,UT,315,logan ut
zhvi,394629,"Georgetown, SC",msa,SC,315,georgetown sc
zhvi,394412,"Bremerton, WA",msa,WA,315,bremerton wa
zhvi,753874,"Craig, CO",msa,CO,315,craig co
zhvi,394423,"Brunswick, GA",msa,GA,315,brunswick ga
zhvi,394944,"Oshkosh, WI",msa,WI,315,oshkosh wi
zhvi,394965,"Parsons, KS",msa,KS,315,parsons ks
zhvi,394609,"Fort Smith, AR",msa,AR,315,fort smith ar
zhvi,753887,"Hermiston, OR",msa,OR,315,hermiston or
zhvi,394496,"Coos Bay, OR",msa,OR,315,coos bay or
zhvi,394998,"Portland, OR",msa,OR,315,portland or
