source,source_geo_id,source_geo_name,source_geo_type,canonical_geo_id,match_method,confidence_score,notes
zillow,394532,"Detroit, MI",msa,metro_19820,manual,1.0000,"Manual Zillow MSA RegionID to Census CBSA 19820 Detroit-Warren-Dearborn, MI"
bls_laus,LAUMT261982000000003,"Detroit-Warren-Dearborn, MI unemployment rate",metro_series,metro_19820,manual,1.0000,BLS LAUS Detroit-Warren-Dearborn metro unemployment rate series to CBSA 19820
bls_laus,LAUMT261982000000004,"Detroit-Warren-Dearborn, MI unemployment count",metro_series,metro_19820,manual,1.0000,BLS LAUS Detroit-Warren-Dearborn metro unemployment count series to CBSA 19820
bls_laus,LAUMT261982000000005,"Detroit-Warren-Dearborn, MI employment",metro_series,metro_19820,manual,1.0000,BLS LAUS Detroit-Warren-Dearborn metro employment series to CBSA 19820
bls_laus,LAUMT261982000000006,"Detroit-Warren-Dearborn, MI labor force",metro_series,metro_19820,manual,1.0000,BLS LAUS Detroit-Warren-Dearborn metro labor force series to CBSA 19820
redfin,"Detroit, MI","Detroit, MI",metro,metro_19820,manual,1.0000,Story 9.1 Redfin full market tracker Detroit metro mapping
redfin,metro_redfin_detroit_mi_mi,"Detroit, MI",metro,metro_19820,manual,1.0000,Story 9.1 Redfin full market tracker Detroit metro mapping
zillow,395106,"Somerset, PA",msa,metro_43740,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=PA
zillow,394728,"Jonesboro, AR",msa,metro_27860,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=AR
zillow,395248,"Zanesville, OH",msa,metro_49780,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=OH
zillow,394986,"Plattsburgh, NY",msa,metro_38460,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=NY
zillow,394981,"Pittsburg, KS",msa,metro_38260,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=KS
zillow,395146,"Tallahassee, FL",msa,metro_45220,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=FL
zillow,394419,"Brookings, SD",msa,metro_15100,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=SD
zillow,394508,"Crescent City, CA",msa,metro_18860,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=CA
zillow,395201,"Wapakoneta, OH",msa,metro_47540,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=OH
zillow,394455,"Charleston, WV",msa,metro_16620,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=WV
zillow,394948,"Owatonna, MN",msa,metro_36940,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=MN
zillow,394305,"Alamogordo, NM",msa,metro_10460,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=NM
zillow,394725,"Jesup, GA",msa,metro_27700,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=GA
zillow,395240,"Yakima, WA",msa,metro_49420,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=WA
zillow,395142,"Sweetwater, TX",msa,metro_45020,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=TX
zillow,395141,"Susanville, CA",msa,metro_45000,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=CA
zillow,395037,"Rolla, MO",msa,metro_40620,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=MO
zillow,394992,"Pontiac, IL",msa,metro_38700,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=IL
zillow,395219,"West Plains, MO",msa,metro_48460,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=MO
zillow,394659,"Guymon, OK",msa,metro_25100,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=OK
zillow,395019,"Reno, NV",msa,metro_39900,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=NV
zillow,395022,"Richmond, VA",msa,metro_40060,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=VA
zillow,395155,"Thomasville, GA",msa,metro_45620,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=GA
zillow,394377,"Bellefontaine, OH",msa,metro_13340,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=OH
zillow,394734,"Kankakee, IL",msa,metro_28100,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=IL
zillow,394791,"Lexington, NE",msa,metro_30420,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=NE
zillow,394751,"Kirksville, MO",msa,metro_28860,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=MO
zillow,395139,"Sumter, SC",msa,metro_44940,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=SC
zillow,394523,"Decatur, AL",msa,metro_19460,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=AL
zillow,394868,"Mitchell, SD",msa,metro_33580,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=SD
zillow,394605,"Fort Madison, IA",msa,metro_22800,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=IA
zillow,395092,"Shelton, WA",msa,metro_43220,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=WA
zillow,395083,"Selma, AL",msa,metro_42820,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=AL
zillow,394618,"Fremont, OH",msa,metro_23380,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=OH
zillow,394482,"Coldwater, MI",msa,metro_17740,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=MI
zillow,395020,"Rexburg, ID",msa,metro_39940,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=ID
zillow,394612,"Fort Wayne, IN",msa,metro_23060,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=IN
zillow,395206,"Washington Court House, OH",msa,metro_47920,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=OH
zillow,394709,"Ithaca, NY",msa,metro_27060,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=NY
zillow,394356,"Bainbridge, GA",msa,metro_12460,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=GA
zillow,394824,"Mansfield, OH",msa,metro_31900,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=OH
zillow,394447,"Cedar Rapids, IA",msa,metro_16300,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=IA
zillow,394908,"New Haven, CT",msa,metro_35300,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=CT
zillow,395026,"Riverton, WY",msa,metro_40180,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=WY
zillow,394643,"Great Bend, KS",msa,metro_24460,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=KS
zillow,395054,"San Angelo, TX",msa,metro_41660,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=TX
zillow,394864,"Mineral Wells, TX",msa,metro_33420,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=TX
zillow,395032,"Rock Springs, WY",msa,metro_40540,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=WY
zillow,395174,"Tyler, TX",msa,metro_46340,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=TX
zillow,395062,"Sandusky, OH",msa,metro_41780,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=OH
zillow,395197,"Waco, TX",msa,metro_47380,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=TX
zillow,394506,"Coshocton, OH",msa,metro_18740,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=OH
